antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'rolls/buns', 'sausage'})",frozenset({'whole milk'}),0.005346521419501437,0.15792287642852368,0.0011361358016440553,0.2125,1.345593525179856,1.0,0.0002917977601896749,1.0693042839002875,0.25821406974400324,0.007007419620774939,0.06481250000000001,0.10984712230215828
frozenset({'sausage'}),frozenset({'sliced cheese'}),0.06034886052262247,0.014034618726191272,0.0011361358016440553,0.018826135105204873,1.34140695037705,1.0,0.0002891625536489528,1.004883452923532,0.2708601790645134,0.015510948905109486,0.004859720706241477,0.049889258028792904
frozenset({'sliced cheese'}),frozenset({'sausage'}),0.014034618726191272,0.06034886052262247,0.0011361358016440553,0.08095238095238094,1.3414069503770498,1.0,0.0002891625536489528,1.022418338291447,0.25813692927859133,0.015510948905109486,0.021926776400460597,0.049889258028792904
frozenset({'beef'}),frozenset({'frozen vegetables'}),0.03395041101383412,0.028002405934638777,0.0012697988371315912,0.03740157480314961,1.3356557608103283,1.0,0.00031910564627437687,1.0097643717488824,0.2601358116841741,0.02092511013215859,0.009669950754918014,0.04137381842782779
frozenset({'frozen vegetables'}),frozenset({'beef'}),0.028002405934638777,0.03395041101383412,0.0012697988371315912,0.045346062052505964,1.3356557608103283,1.0,0.00031910564627437687,1.0119369444630086,0.25854394649991314,0.02092511013215859,0.011796134658709568,0.04137381842782779
frozenset({'margarine'}),frozenset({'frankfurter'}),0.03221279155249616,0.037759807525228894,0.001603956425850431,0.04979253112033195,1.318664855138986,1.0,0.0003876076169778569,1.0126632593293443,0.24970075731418187,0.02346041055718475,0.012504906456002707,0.046135203613263315
frozenset({'frankfurter'}),frozenset({'margarine'}),0.037759807525228894,0.03221279155249616,0.001603956425850431,0.04247787610619469,1.3186648551389857,1.0,0.0003876076169778569,1.0107204672326058,0.2511402046580545,0.02346041055718475,0.010606757832814801,0.046135203613263315
frozenset({'processed cheese'}),frozenset({'rolls/buns'}),0.01015839069705273,0.11000467820624206,0.0014702933903628951,0.14473684210526316,1.315733516659206,1.0,0.0003528228906403267,1.0406099147127017,0.2424303803683995,0.012387387387387387,0.03902510838935592,0.07905128861034726
frozenset({'rolls/buns'}),frozenset({'processed cheese'}),0.11000467820624206,0.01015839069705273,0.0014702933903628951,0.013365735115431349,1.3157335166592057,1.0,0.0003528228906403267,1.0032507936654256,0.2696280215991864,0.012387387387387387,0.003240260247937295,0.07905128861034726
frozenset({'citrus fruit'}),frozenset({'candy'}),0.05313105660629553,0.014368776314910112,0.0010024727661565194,0.018867924528301886,1.3131197893813076,1.0,0.0002390444984058318,1.0045856702944185,0.2518351214003388,0.015075376884422108,0.004564737911376533,0.0443176831943835
frozenset({'candy'}),frozenset({'citrus fruit'}),0.014368776314910112,0.05313105660629553,0.0010024727661565194,0.06976744186046512,1.3131197893813076,1.0,0.0002390444984058318,1.0178841141482322,0.2419311093029563,0.015075376884422108,0.01756989219072131,0.0443176831943835
frozenset({'packaged fruit/vegetables'}),frozenset({'rolls/buns'}),0.00848760275345853,0.11000467820624206,0.0012029673193878234,0.14173228346456695,1.2884205087972755,1.0,0.0002692913097512037,1.0369670263101582,0.22577214583146116,0.010256410256410258,0.035649182059045985,0.07633394246132358
frozenset({'rolls/buns'}),frozenset({'packaged fruit/vegetables'}),0.11000467820624206,0.00848760275345853,0.0012029673193878234,0.010935601458080195,1.2884205087972753,1.0,0.0002692913097512037,1.0024750650293657,0.25152478452771326,0.010256410256410258,0.0024689542071484206,0.07633394246132358
